Weekly
,,$44 ,$222 ,,$0.00 ,plus,10%,,$44 ,,,$165 ,$520 ,,$0.00 ,plus,10%,,$165 
,,$222 ,$764 ,,$17.80 ,plus,15%,-,$222 ,,,$520 ,"$1,606 ",,$35.50 ,plus,15%,-,$520 
,,$764 ,"$1,789 ",,$99.10 ,plus,25%,-,$764 ,,,"$1,606 ","$3,073 ",,$198.40 ,plus,25%,-,"$1,606 "
,,"$1,789 ","$3,685 ",,$355.35 ,plus,28%,-,"$1,789 ",,,"$3,073 ","$4,597 ",,$565.15 ,plus,28%,-,"$3,073 "
,,"$3,685 ","$7,958 ",,$886.23 ,plus,33%,-,"$3,685 ",,,"$4,597 ","$8,079 ",,$991.87 ,plus,33%,-,"$4,597 "
,,"$7,958 ","$7,990 ",,"$2,296.32 ",plus,35%,-,"$7,958 ",,,"$8,079 ","$9,105 ",,"$2,140.93 ",plus,35%,-,"$8,079 "
,,"$7,990 ",--,,"$2,307.52 ",plus,39.60%,-,"$7,990 ",,,"$9,105 ",--,,"$2,500.03 ",plus,39.60%,-,"$9,105 "
Biweekly
,,$88 ,$443 ,,$0.00 ,plus,10%,,$88 ,,,$331 ,"$1,040 ",,$0.00 ,plus,10%,,$331 
,,$443 ,"$1,529 ",,$35.50 ,plus,15%,-,$443 ,,,"$1,040 ","$3,212 ",,$70.90 ,plus,15%,-,"$1,040 "
,,"$1,529 ","$3,579 ",,$198.40 ,plus,25%,-,"$1,529 ",,,"$3,212 ","$6,146 ",,$396.70 ,plus,25%,-,"$3,212 "
,,"$3,579 ","$7,369 ",,$710.90 ,plus,28%,-,"$3,579 ",,,"$6,146 ","$9,194 ",,"$1,130.20 ",plus,28%,-,"$6,146 "
,,"$7,369 ","$15,915 ",,"$1,772.10 ",plus,33%,-,"$7,369 ",,,"$9,194 ","$16,158 ",,"$1,983.64 ",plus,33%,-,"$9,194 "
,,"$15,915 ","$15,981 ",,"$4,592.28 ",plus,35%,-,"$15,915 ",,,"$16,158 ","$18,210 ",,"$4,281.76 ",plus,35%,-,"$16,158 "
,,"$15,981 ",--,,"$4,615.38 ",plus,39.60%,-,"$15,981 ",,,"$18,210 ",--,,"$4,999.96 ",plus,39.60%,-,"$18,210 "
Semimonthly
,,$96 ,$480 ,,$0.00 ,plus,10%,,$96 ,,,$358 ,"$1,127 ",,$0.00 ,plus,10%,,$358 
,,$480 ,"$1,656 ",,$38.40 ,plus,15%,-,$480 ,,,"$1,127 ","$3,479 ",,$76.90 ,plus,15%,-,"$1,127 "
,,"$1,656 ","$3,877 ",,$214.80 ,plus,25%,-,"$1,656 ",,,"$3,479 ","$6,658 ",,$429.70 ,plus,25%,-,"$3,479 "
,,"$3,877 ","$7,983 ",,$770.05 ,plus,28%,-,"$3,877 ",,,"$6,658 ","$9,960 ",,"$1,224.45 ",plus,28%,-,"$6,658 "
